comparison.primary;comparison.secondary
теща;0;9.14728682170543
калина;0;23.4108527131783
невеста;39.4736842105263;11.0077519379845
повесить;15.7894736842105;20.3100775193798
семь;5.26315789473684;22.4806201550388
уметь;10.5263157894737;20
встреча;31.5789473684211;19.0697674418605
здесь;78.9473684210526;24.031007751938
резвый;31.5789473684211;23.7209302325581
тесовый;10.5263157894737;29.4573643410853
хоровод;65.7894736842105;20
будить;10.5263157894737;22.015503875969
приводить;18.4210526315789;19.8449612403101
сорвать;34.2105263157895;19.6899224806202
шатер;15.7894736842105;11.6279069767442
приносить;26.3157894736842;23.4108527131783
рвать;36.8421052631579;20.9302325581395
роща;47.3684210526316;17.0542635658915
смотреть;42.1052631578947;22.1705426356589
катенька;5.26315789473684;13.953488372093
колечко;34.2105263157895;21.5503875968992
кольцо;92.1052631578947;20.7751937984496
либо;0;12.7131782945736
отставать;26.3157894736842;21.0852713178295
виться;50;16.7441860465116
зять;0;7.75193798449612
светить;76.3157894736842;17.984496124031
ступать;10.5263157894737;22.6356589147287
сушить;15.7894736842105;22.1705426356589
умирать;65.7894736842105;19.8449612403101
здравствовать;34.2105263157895;18.1395348837209
мужик;2.63157894736842;18.7596899224806
племя;23.6842105263158;22.6356589147287
слезный;31.5789473684211;21.7054263565891
царев;0;17.0542635658915
выпивать;0;18.1395348837209
заплакать;15.7894736842105;27.4418604651163
ковер;5.26315789473684;11.1627906976744
крыльцо;7.89473684210526;23.1007751937985
любушка;10.5263157894737;18.4496124031008
мало;5.26315789473684;23.8759689922481
словно;81.5789473684211;21.3953488372093
стрела;57.8947368421053;10.5426356589147
грозный;57.8947368421053;17.0542635658915
королевский;0;4.8062015503876
милая;42.1052631578947;26.2015503875969
ус;21.0526315789474;10.3875968992248
прилетать;36.8421052631579;21.2403100775194
роса;68.4210526315789;18.6046511627907
голубка;26.3157894736842;16.8992248062016
крепко;42.1052631578947;24.3410852713178
проводить;50;26.046511627907
столб;10.5263157894737;16.5891472868217
гульба;5.26315789473684;18.4496124031008
давно;71.0526315789474;20
крепкий;78.9473684210526;22.9457364341085
рубашка;0;25.2713178294574
смерть;78.9473684210526;18.7596899224806
гнездо;52.6315789473684;15.3488372093023
полк;0;15.1937984496124
снимать;36.8421052631579;22.7906976744186
похаживать;5.26315789473684;21.5503875968992
таки;15.7894736842105;20.1550387596899
вон;23.6842105263158;24.8062015503876
конец;42.1052631578947;22.9457364341085
поздно;52.6315789473684;20.3100775193798
тка;0;20
детинушка;0;21.0852713178295
ныть;60.5263157894737;18.2945736434109
очень;0;24.1860465116279
поймать;10.5263157894737;19.5348837209302
птица;63.1578947368421;12.7131782945736
грусть;89.4736842105263;15.8139534883721
невестушка;0;16.4341085271318
прекрасный;47.3684210526316;22.7906976744186
расставаться;55.2631578947368;21.5503875968992
